#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,instance,job,user
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:13:43.403Z,74760192,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:13:48.403Z,74760192,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:13:53.403Z,74768384,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:13:58.403Z,74776576,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:03.403Z,74784768,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:08.406Z,74788864,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:13.403Z,74792960,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:18.403Z,74801152,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:23.403Z,74809344,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:28.403Z,74817536,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:33.403Z,74825728,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:38.403Z,74833920,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:43.405Z,74833920,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:48.409Z,74842112,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:53.403Z,74850304,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:14:58.403Z,74858496,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:03.403Z,74874880,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:08.403Z,74899456,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:13.403Z,74899456,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:18.403Z,74907648,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:23.403Z,74915840,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:28.403Z,74924032,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:33.403Z,74932224,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:38.403Z,74940416,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:43.406Z,74940416,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:48.406Z,74948608,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:53.405Z,74956800,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:15:58.406Z,74964992,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:03.406Z,74973184,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:08.406Z,74973184,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:13.407Z,74981376,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:16:18.406Z,74989568,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
