benchmark_id,framework,sf,instance,cpu_usage
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,AIRFLOW,3.0591775325984374
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,AIRFLOW,22.802611752885372
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,SOURCE,16.73407482304609
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,SOURCE,16.649899396387745
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,TARGET,9.51898734177637
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,TARGET,21.982974461669517
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,AIRFLOW,4.651162790664579
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,AIRFLOW,18.063221274481293
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,SOURCE,18.7721968543845
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,SOURCE,22.233300099706835
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,TARGET,20.53752535495574
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,TARGET,21.915747241717245
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,AIRFLOW,7.892057026463376
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,AIRFLOW,22.199592668046172
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,SOURCE,24.96179317371155
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,SOURCE,22.08955223878902
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,TARGET,25.02548419978332
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,TARGET,22.011005502746674
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,AIRFLOW,3.0576441102939436
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,AIRFLOW,28.42741935488673
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,SOURCE,26.649874055437824
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,SOURCE,21.654135338355278
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,TARGET,25.312031952066462
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,TARGET,21.646942800776188
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,AIRFLOW,3.761283851517186
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,AIRFLOW,30.05519317608771
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,AIRFLOW,37.29838709675208
