benchmark_id,framework,sf,instance,memory_buffer
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,AIRFLOW,1.5288009643554688
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,AIRFLOW,1.5294570922851562
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,SOURCE,1.6677970886230469
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,SOURCE,1.6932640075683594
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,TARGET,1.783782958984375
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,TARGET,1.6432762145996094
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,AIRFLOW,1.5292434692382812
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,AIRFLOW,1.5298881530761719
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,SOURCE,1.6970405578613281
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,SOURCE,1.8133468627929688
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,TARGET,1.2634696960449219
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,TARGET,1.6157379150390625
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,AIRFLOW,1.5296783447265625
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,AIRFLOW,1.5302581787109375
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,SOURCE,1.8440780639648438
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,SOURCE,1.9693260192871094
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,TARGET,1.2636299133300781
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,TARGET,1.6323471069335938
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,AIRFLOW,1.5301017761230469
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,AIRFLOW,1.5307693481445312
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,SOURCE,2.0552139282226562
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,SOURCE,2.0960922241210938
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,TARGET,1.2638473510742188
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,TARGET,1.6651573181152344
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,AIRFLOW,1.5306892395019531
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,AIRFLOW,1.5312042236328125
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,AIRFLOW,1.5313186645507812
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,SOURCE,2.1333351135253906
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,SOURCE,2.2249832153320312
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,SOURCE,2.245616912841797
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,TARGET,1.2641258239746094
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,TARGET,1.6332931518554688
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,TARGET,2.0943450927734375
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,AIRFLOW,1.5310783386230469
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,AIRFLOW,1.5318489074707031
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,AIRFLOW,1.5320014953613281
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,SOURCE,2.330677032470703
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,SOURCE,2.3620529174804688
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,SOURCE,2.3817138671875
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,TARGET,1.2645072937011719
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,TARGET,1.6280059814453125
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,TARGET,2.1182899475097656
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,AIRFLOW,1.5318145751953125
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,AIRFLOW,1.532318115234375
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,AIRFLOW,1.5326499938964844
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,SOURCE,2.617462158203125
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,SOURCE,2.6318817138671875
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,SOURCE,2.6534652709960938
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,TARGET,1.2647819519042969
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,TARGET,1.561187744140625
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,TARGET,2.1474685668945312
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,AIRFLOW,1.5324974060058594
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,AIRFLOW,1.5330276489257812
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,AIRFLOW,1.5331192016601562
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,AIRFLOW,1.5333404541015625
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,SOURCE,2.9078826904296875
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,SOURCE,2.9167251586914062
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,SOURCE,2.9400711059570312
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,SOURCE,2.9400711059570312
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,TARGET,1.264068603515625
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,TARGET,1.5946311950683594
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,TARGET,2.181072235107422
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,TARGET,2.6122169494628906
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,1.5331916809082031
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,1.5337562561035156
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,1.533843994140625
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,1.5340843200683594
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,1.5338668823242188
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,3.1520233154296875
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,3.1671066284179688
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,3.1671142578125
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,3.1732177734375
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,3.1841506958007812
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,1.2643775939941406
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,1.57147216796875
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,2.1954421997070312
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,2.6640968322753906
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,3.1203384399414062
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,1.5339851379394531
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,1.5345382690429688
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,1.5346412658691406
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,1.5348892211914062
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,1.535003662109375
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,1.5351066589355469
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,3.5910797119140625
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,3.5921783447265625
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,3.5921859741210938
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,3.5921859741210938
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,3.5921859741210938
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,3.5921859741210938
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,1.2646980285644531
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,1.5926361083984375
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,2.1826553344726562
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,2.6810264587402344
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,3.09295654296875
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,3.5558395385742188
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,1.5349159240722656
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,1.5355453491210938
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,1.5356903076171875
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,1.5357933044433594
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,1.5358772277832031
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,1.5359687805175781
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,1.5359382629394531
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,3.997478485107422
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,3.997631072998047
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,3.9976539611816406
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,3.9976539611816406
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,3.9976539611816406
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,3.9976539611816406
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,3.9976539611816406
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,1.288970947265625
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,1.5671920776367188
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,2.04931640625
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,2.663623809814453
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,3.102630615234375
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,3.5074691772460938
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,3.9704360961914062
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,1.5360641479492188
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,1.5366134643554688
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,1.5367088317871094
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,1.5370216369628906
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,1.5371170043945312
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,1.537200927734375
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,1.5372772216796875
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,1.5373764038085938
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,4.5411376953125
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,4.542022705078125
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,4.542045593261719
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,4.542045593261719
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,4.5420684814453125
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,4.5420684814453125
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,4.5420684814453125
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,4.544769287109375
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,1.2895927429199219
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,1.5640335083007812
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,1.9605331420898438
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,2.6380386352539062
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,3.1046524047851562
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,3.5397987365722656
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,3.932659149169922
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,4.3157196044921875
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,1.5373611450195312
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,1.5378990173339844
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,1.5380363464355469
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,1.5381393432617188
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,1.5384063720703125
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,1.5384902954101562
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,1.5385704040527344
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,1.5386810302734375
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,1.5387763977050781
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,5.234516143798828
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,5.234504699707031
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,5.234989166259766
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,5.234973907470703
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,5.235195159912109
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,5.235866546630859
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,5.235889434814453
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,5.235889434814453
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,5.235889434814453
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,1.2898597717285156
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,1.6030845642089844
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,2.0188369750976562
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,2.6738014221191406
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,3.2623519897460938
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,3.7183189392089844
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,4.184013366699219
