benchmark_id,framework,sf,instance,memory_usage
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,AIRFLOW,4.2358245849609375
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,AIRFLOW,7.005275726318359
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,SOURCE,0.16082000732421875
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,SOURCE,0.16301727294921875
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,TARGET,0.1664886474609375
MjAyMzExMDgxMjM3NDQ=,Airflow + Spark,3,TARGET,0.16692352294921875
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,AIRFLOW,4.241588592529297
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,AIRFLOW,6.5339508056640625
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,SOURCE,0.1665496826171875
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,SOURCE,0.17277145385742188
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,TARGET,0.15442276000976562
MjAyMzExMDgxMjM5MTU=,Airflow + Spark,4,TARGET,0.16779327392578125
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,AIRFLOW,4.336528778076172
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,AIRFLOW,6.779003143310547
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,SOURCE,0.17510986328125
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,SOURCE,0.17925262451171875
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,TARGET,0.15647125244140625
MjAyMzExMDgxMjQxMDk=,Airflow + Spark,5,TARGET,0.17101669311523438
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,AIRFLOW,4.244731903076172
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,AIRFLOW,6.826164245605469
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,SOURCE,0.20069122314453125
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,SOURCE,0.18783950805664062
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,TARGET,0.15888595581054688
MjAyMzExMDgxMjQzMjU=,Airflow + Spark,6,TARGET,0.17238235473632812
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,AIRFLOW,4.3884124755859375
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,AIRFLOW,7.907199859619141
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,AIRFLOW,7.791316986083984
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,SOURCE,0.19298171997070312
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,SOURCE,0.19013214111328125
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,SOURCE,0.19244384765625
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,TARGET,0.16184616088867188
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,TARGET,0.19397354125976562
MjAyMzExMDgxMjQ1NTk=,Airflow + Spark,7,TARGET,0.20090484619140625
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,AIRFLOW,4.172405242919922
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,AIRFLOW,6.9398345947265625
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,AIRFLOW,6.681941986083984
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,SOURCE,0.19369125366210938
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,SOURCE,0.19921875
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,SOURCE,0.19971466064453125
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,TARGET,0.16440582275390625
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,TARGET,0.1864471435546875
MjAyMzExMDgxMjQ4NTE=,Airflow + Spark,8,TARGET,0.19611740112304688
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,AIRFLOW,4.203357696533203
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,AIRFLOW,7.751594543457031
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,AIRFLOW,8.169136047363281
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,SOURCE,0.20912933349609375
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,SOURCE,0.210205078125
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,SOURCE,0.2115325927734375
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,TARGET,0.168243408203125
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,TARGET,0.1799468994140625
MjAyMzExMDgxMjUyMDE=,Airflow + Spark,10,TARGET,0.20025634765625
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,AIRFLOW,4.206504821777344
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,AIRFLOW,6.812160491943359
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,AIRFLOW,9.013782501220703
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,AIRFLOW,7.0457916259765625
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,SOURCE,0.2020721435546875
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,SOURCE,0.22544097900390625
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,SOURCE,0.20625686645507812
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,SOURCE,0.20606231689453125
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,TARGET,0.15663528442382812
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,TARGET,0.1686553955078125
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,TARGET,0.2004241943359375
MjAyMzExMDgxMjU1NTA=,Airflow + Spark,12,TARGET,0.20080184936523438
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,4.209053039550781
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,7.8698577880859375
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,7.988849639892578
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,10.058418273925781
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,AIRFLOW,4.487495422363281
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,0.219024658203125
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,0.2419891357421875
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,0.22137069702148438
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,0.22266387939453125
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,SOURCE,0.22058486938476562
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,0.15985488891601562
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,0.17282485961914062
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,0.191192626953125
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,0.20601272583007812
MjAyMzExMDgxMzAwMjQ=,Airflow + Spark,14,TARGET,0.21905899047851562
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,4.2121124267578125
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,6.9737396240234375
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,7.7288055419921875
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,9.20477294921875
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,7.040576934814453
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,AIRFLOW,6.7839202880859375
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,0.24462509155273438
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,0.2706413269042969
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,0.24787139892578125
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,0.24695968627929688
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,0.24712371826171875
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,SOURCE,0.24569320678710938
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,0.16287994384765625
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,0.17353439331054688
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,0.19451904296875
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,0.21254348754882812
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,0.2225341796875
MjAyMzExMDgxMzA1Mjg=,Airflow + Spark,17,TARGET,0.23204803466796875
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,4.209453582763672
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,7.478645324707031
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,7.744823455810547
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,9.174816131591797
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,10.343891143798828
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,11.099693298339844
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,AIRFLOW,4.495155334472656
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,0.27101898193359375
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,0.27451324462890625
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,0.2721519470214844
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,0.2715415954589844
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,0.272308349609375
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,0.2711524963378906
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,SOURCE,0.270660400390625
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,0.1750946044921875
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,0.1872100830078125
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,0.20154571533203125
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,0.21924972534179688
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,0.2340240478515625
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,0.24489593505859375
MjAyMzExMDgxMzExNDM=,Airflow + Spark,20,TARGET,0.25958251953125
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,4.221565246582031
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,9.583843231201172
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,10.126155853271484
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,8.264652252197266
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,11.322639465332031
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,11.783588409423828
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,8.07052993774414
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,AIRFLOW,8.06838607788086
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,0.2941322326660156
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,0.2894134521484375
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,0.2893028259277344
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,0.2889442443847656
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,0.2887611389160156
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,0.2881507873535156
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,0.2880210876464844
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,SOURCE,0.28784942626953125
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,0.18766403198242188
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,0.20027923583984375
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,0.21139907836914062
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,0.23112106323242188
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,0.2467498779296875
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,0.25885009765625
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,0.2718849182128906
MjAyMzExMDgxMzE5MjA=,Airflow + Spark,24,TARGET,0.28301239013671875
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,4.256893157958984
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,9.047599792480469
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,8.083168029785156
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,10.28750228881836
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,11.447868347167969
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,13.337268829345703
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,13.357479095458984
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,8.967144012451172
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,AIRFLOW,7.288299560546875
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,0.34172821044921875
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,0.3385505676269531
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,0.32057952880859375
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,0.32196044921875
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,0.3212928771972656
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,0.3214988708496094
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,0.3217430114746094
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,0.3212394714355469
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,SOURCE,0.3215217590332031
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,0.1995391845703125
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,0.21430587768554688
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,0.22553253173828125
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,0.24555206298828125
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,0.27861785888671875
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,0.2764244079589844
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,0.2899169921875
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,0.3032379150390625
MjAyMzExMDgxMzI4MzQ=,Airflow + Spark,29,TARGET,0.3167533874511719
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,4.225658416748047
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,10.851436614990234
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,11.239227294921875
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,9.264545440673828
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,10.401557922363281
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,11.152473449707031
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,12.421180725097656
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,13.772747039794922
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,14.745109558105469
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,12.823909759521484
MjAyMzExMDgxMzM5MDk=,Airflow + Spark,35,AIRFLOW,12.870887756347656
