"Time","SOURCE"
2023-11-07 11:55:00,12.0 GB
2023-11-07 11:55:30,10.5 GB
2023-11-07 11:56:00,11.2 GB
2023-11-07 11:56:30,12.3 GB
2023-11-07 11:57:00,12.3 GB
2023-11-07 11:57:30,12.3 GB
2023-11-07 11:58:00,12.3 GB
2023-11-07 11:58:30,12.3 GB
2023-11-07 11:59:00,12.3 GB
2023-11-07 11:59:30,12.3 GB
2023-11-07 12:00:00,12.3 GB
2023-11-07 12:00:30,12.3 GB
2023-11-07 12:01:00,12.3 GB
2023-11-07 12:01:30,12.3 GB
2023-11-07 12:02:00,12.3 GB
2023-11-07 12:02:30,12.3 GB
2023-11-07 12:03:00,12.3 GB
2023-11-07 12:03:30,12.3 GB
2023-11-07 12:04:00,12.3 GB
2023-11-07 12:04:30,12.3 GB
2023-11-07 12:05:00,12.3 GB
2023-11-07 12:05:30,12.3 GB
2023-11-07 12:06:00,12.3 GB
2023-11-07 12:06:30,12.3 GB
2023-11-07 12:07:00,12.3 GB
2023-11-07 12:07:30,12.3 GB
2023-11-07 12:08:00,12.3 GB
2023-11-07 12:08:30,12.3 GB
2023-11-07 12:09:00,12.3 GB
2023-11-07 12:09:30,12.3 GB
2023-11-07 12:10:00,12.3 GB
2023-11-07 12:10:30,12.3 GB
2023-11-07 12:11:00,12.3 GB
2023-11-07 12:11:30,12.3 GB
2023-11-07 12:12:00,12.3 GB
2023-11-07 12:12:30,10.8 GB
2023-11-07 12:13:00,11.3 GB
2023-11-07 12:13:30,12.5 GB
2023-11-07 12:14:00,12.5 GB
2023-11-07 12:14:30,12.5 GB
2023-11-07 12:15:00,12.5 GB
2023-11-07 12:15:30,12.5 GB
2023-11-07 12:16:00,12.5 GB
2023-11-07 12:16:30,12.5 GB
2023-11-07 12:17:00,12.5 GB
2023-11-07 12:17:30,12.5 GB
2023-11-07 12:18:00,12.5 GB
2023-11-07 12:18:30,12.5 GB
2023-11-07 12:19:00,12.5 GB
2023-11-07 12:19:30,12.5 GB
2023-11-07 12:20:00,12.5 GB
2023-11-07 12:20:30,12.5 GB
2023-11-07 12:21:00,12.5 GB
2023-11-07 12:21:30,12.5 GB
2023-11-07 12:22:00,12.5 GB
2023-11-07 12:22:30,12.5 GB
2023-11-07 12:23:00,12.5 GB
2023-11-07 12:23:30,12.5 GB
2023-11-07 12:24:00,12.5 GB
2023-11-07 12:24:30,12.5 GB
2023-11-07 12:25:00,12.5 GB
2023-11-07 12:25:30,12.5 GB
2023-11-07 12:26:00,12.5 GB
2023-11-07 12:26:30,12.5 GB
2023-11-07 12:27:00,12.5 GB
2023-11-07 12:27:30,12.5 GB
2023-11-07 12:28:00,12.5 GB
2023-11-07 12:28:30,12.5 GB
2023-11-07 12:29:00,12.5 GB
2023-11-07 12:29:30,12.5 GB
2023-11-07 12:30:00,12.5 GB
2023-11-07 12:30:30,12.5 GB
2023-11-07 12:31:00,12.5 GB
2023-11-07 12:31:30,12.5 GB
2023-11-07 12:32:00,12.5 GB
2023-11-07 12:32:30,12.5 GB
2023-11-07 12:33:00,10.9 GB
2023-11-07 12:33:30,11.5 GB
2023-11-07 12:34:00,12.6 GB
2023-11-07 12:34:30,13.0 GB
2023-11-07 12:35:00,13.0 GB
2023-11-07 12:35:30,13.0 GB
2023-11-07 12:36:00,13.0 GB
2023-11-07 12:36:30,13.0 GB
2023-11-07 12:37:00,13.0 GB
2023-11-07 12:37:30,13.0 GB
2023-11-07 12:38:00,13.0 GB
2023-11-07 12:38:30,13.0 GB
2023-11-07 12:39:00,13.0 GB
2023-11-07 12:39:30,13.0 GB
2023-11-07 12:40:00,13.0 GB
2023-11-07 12:40:30,13.0 GB
2023-11-07 12:41:00,13.0 GB
2023-11-07 12:41:30,13.0 GB
2023-11-07 12:42:00,13.0 GB
2023-11-07 12:42:30,13.0 GB
2023-11-07 12:43:00,13.0 GB
2023-11-07 12:43:30,13.0 GB
2023-11-07 12:44:00,13.0 GB
2023-11-07 12:44:30,13.0 GB
2023-11-07 12:45:00,13.0 GB
2023-11-07 12:45:30,13.0 GB
2023-11-07 12:46:00,13.0 GB
2023-11-07 12:46:30,13.0 GB
2023-11-07 12:47:00,13.0 GB
2023-11-07 12:47:30,13.0 GB
2023-11-07 12:48:00,13.0 GB
2023-11-07 12:48:30,13.0 GB
2023-11-07 12:49:00,13.0 GB
2023-11-07 12:49:30,13.0 GB
2023-11-07 12:50:00,13.0 GB
2023-11-07 12:50:30,13.0 GB
2023-11-07 12:51:00,13.0 GB
2023-11-07 12:51:30,13.0 GB
2023-11-07 12:52:00,13.0 GB
2023-11-07 12:52:30,13.0 GB
2023-11-07 12:53:00,13.0 GB
2023-11-07 12:53:30,13.0 GB
2023-11-07 12:54:00,13.0 GB
2023-11-07 12:54:30,13.0 GB
2023-11-07 12:55:00,13.0 GB
2023-11-07 12:55:30,13.0 GB
2023-11-07 12:56:00,13.0 GB
2023-11-07 12:56:30,13.0 GB
2023-11-07 12:57:00,13.0 GB
2023-11-07 12:57:30,13.0 GB
