"Time","TARGET"
2023-11-07 11:55:00,18.4 GB
2023-11-07 11:55:30,10.2 GB
2023-11-07 11:56:00,10.2 GB
2023-11-07 11:56:30,10.2 GB
2023-11-07 11:57:00,10.2 GB
2023-11-07 11:57:30,10.5 GB
2023-11-07 11:58:00,10.7 GB
2023-11-07 11:58:30,11.0 GB
2023-11-07 11:59:00,11.2 GB
2023-11-07 11:59:30,11.4 GB
2023-11-07 12:00:00,11.7 GB
2023-11-07 12:00:30,11.9 GB
2023-11-07 12:01:00,12.1 GB
2023-11-07 12:01:30,12.3 GB
2023-11-07 12:02:00,12.6 GB
2023-11-07 12:02:30,12.8 GB
2023-11-07 12:03:00,13.0 GB
2023-11-07 12:03:30,13.2 GB
2023-11-07 12:04:00,13.4 GB
2023-11-07 12:04:30,13.6 GB
2023-11-07 12:05:00,13.8 GB
2023-11-07 12:05:30,14.0 GB
2023-11-07 12:06:00,14.3 GB
2023-11-07 12:06:30,14.5 GB
2023-11-07 12:07:00,14.7 GB
2023-11-07 12:07:30,15.0 GB
2023-11-07 12:08:00,15.2 GB
2023-11-07 12:08:30,15.5 GB
2023-11-07 12:09:00,15.8 GB
2023-11-07 12:09:30,16.1 GB
2023-11-07 12:10:00,16.4 GB
2023-11-07 12:10:30,17.3 GB
2023-11-07 12:11:00,18.6 GB
2023-11-07 12:11:30,19.8 GB
2023-11-07 12:12:00,20.3 GB
2023-11-07 12:12:30,10.2 GB
2023-11-07 12:13:00,10.2 GB
2023-11-07 12:13:30,10.2 GB
2023-11-07 12:14:00,10.2 GB
2023-11-07 12:14:30,10.4 GB
2023-11-07 12:15:00,10.6 GB
2023-11-07 12:15:30,10.8 GB
2023-11-07 12:16:00,11.1 GB
2023-11-07 12:16:30,11.3 GB
2023-11-07 12:17:00,11.5 GB
2023-11-07 12:17:30,11.8 GB
2023-11-07 12:18:00,12.0 GB
2023-11-07 12:18:30,12.2 GB
2023-11-07 12:19:00,12.4 GB
2023-11-07 12:19:30,12.6 GB
2023-11-07 12:20:00,12.8 GB
2023-11-07 12:20:30,13.0 GB
2023-11-07 12:21:00,13.2 GB
2023-11-07 12:21:30,13.5 GB
2023-11-07 12:22:00,13.7 GB
2023-11-07 12:22:30,13.9 GB
2023-11-07 12:23:00,14.1 GB
2023-11-07 12:23:30,14.3 GB
2023-11-07 12:24:00,14.5 GB
2023-11-07 12:24:30,14.6 GB
2023-11-07 12:25:00,14.8 GB
2023-11-07 12:25:30,15.1 GB
2023-11-07 12:26:00,15.3 GB
2023-11-07 12:26:30,15.5 GB
2023-11-07 12:27:00,15.8 GB
2023-11-07 12:27:30,16.0 GB
2023-11-07 12:28:00,16.3 GB
2023-11-07 12:28:30,16.6 GB
2023-11-07 12:29:00,16.9 GB
2023-11-07 12:29:30,17.2 GB
2023-11-07 12:30:00,17.5 GB
2023-11-07 12:30:30,18.1 GB
2023-11-07 12:31:00,19.2 GB
2023-11-07 12:31:30,20.6 GB
2023-11-07 12:32:00,21.5 GB
2023-11-07 12:32:30,22.0 GB
2023-11-07 12:33:00,10.2 GB
2023-11-07 12:33:30,10.2 GB
2023-11-07 12:34:00,10.2 GB
2023-11-07 12:34:30,10.2 GB
2023-11-07 12:35:00,10.3 GB
2023-11-07 12:35:30,10.6 GB
2023-11-07 12:36:00,10.8 GB
2023-11-07 12:36:30,11.0 GB
