"Time","AIRBYTE"
2023-11-07 11:55:00,20.3 GB
2023-11-07 11:55:30,20.3 GB
2023-11-07 11:56:00,20.3 GB
2023-11-07 11:56:30,20.3 GB
2023-11-07 11:57:00,20.3 GB
2023-11-07 11:57:30,20.3 GB
2023-11-07 11:58:00,20.3 GB
2023-11-07 11:58:30,20.3 GB
2023-11-07 11:59:00,20.3 GB
2023-11-07 11:59:30,20.3 GB
2023-11-07 12:00:00,20.4 GB
2023-11-07 12:00:30,20.4 GB
2023-11-07 12:01:00,20.3 GB
2023-11-07 12:01:30,20.4 GB
2023-11-07 12:02:00,20.4 GB
2023-11-07 12:02:30,20.4 GB
2023-11-07 12:03:00,20.4 GB
2023-11-07 12:03:30,20.4 GB
2023-11-07 12:04:00,20.4 GB
2023-11-07 12:04:30,20.4 GB
2023-11-07 12:05:00,20.4 GB
2023-11-07 12:05:30,20.4 GB
2023-11-07 12:06:00,20.4 GB
2023-11-07 12:06:30,20.4 GB
2023-11-07 12:07:00,20.5 GB
2023-11-07 12:07:30,20.5 GB
2023-11-07 12:08:00,20.5 GB
2023-11-07 12:08:30,20.5 GB
2023-11-07 12:09:00,20.5 GB
2023-11-07 12:09:30,20.5 GB
2023-11-07 12:10:00,20.5 GB
2023-11-07 12:10:30,20.3 GB
2023-11-07 12:11:00,20.3 GB
2023-11-07 12:11:30,20.3 GB
2023-11-07 12:12:00,20.3 GB
2023-11-07 12:12:30,20.3 GB
2023-11-07 12:13:00,20.3 GB
2023-11-07 12:13:30,20.3 GB
2023-11-07 12:14:00,20.3 GB
2023-11-07 12:14:30,20.4 GB
2023-11-07 12:15:00,20.3 GB
2023-11-07 12:15:30,20.4 GB
2023-11-07 12:16:00,20.4 GB
2023-11-07 12:16:30,20.4 GB
2023-11-07 12:17:00,20.4 GB
2023-11-07 12:17:30,20.4 GB
2023-11-07 12:18:00,20.4 GB
2023-11-07 12:18:30,20.4 GB
2023-11-07 12:19:00,20.4 GB
2023-11-07 12:19:30,20.4 GB
2023-11-07 12:20:00,20.4 GB
2023-11-07 12:20:30,20.4 GB
2023-11-07 12:21:00,20.4 GB
2023-11-07 12:21:30,20.4 GB
2023-11-07 12:22:00,20.4 GB
2023-11-07 12:22:30,20.4 GB
2023-11-07 12:23:00,20.4 GB
2023-11-07 12:23:30,20.4 GB
2023-11-07 12:24:00,20.4 GB
2023-11-07 12:24:30,20.4 GB
2023-11-07 12:25:00,20.4 GB
