"Time","TARGET"
2023-11-08 09:35:00,10.2 GB
2023-11-08 09:35:15,10.2 GB
2023-11-08 09:35:30,10.2 GB
2023-11-08 09:35:45,10.4 GB
2023-11-08 09:36:00,10.5 GB
2023-11-08 09:36:15,10.6 GB
2023-11-08 09:36:30,10.8 GB
2023-11-08 09:36:45,10.8 GB
2023-11-08 09:37:00,10.8 GB
2023-11-08 09:37:15,10.8 GB
2023-11-08 09:37:30,10.8 GB
2023-11-08 09:37:45,10.8 GB
2023-11-08 09:38:00,10.8 GB
2023-11-08 09:38:15,10.8 GB
2023-11-08 09:38:30,10.7 GB
2023-11-08 09:38:45,10.7 GB
2023-11-08 09:39:00,10.6 GB
2023-11-08 09:39:15,10.6 GB
2023-11-08 09:39:30,10.2 GB
2023-11-08 09:39:45,10.2 GB
2023-11-08 09:40:00,10.2 GB
2023-11-08 09:40:15,10.3 GB
2023-11-08 09:40:30,10.5 GB
2023-11-08 09:40:45,10.6 GB
2023-11-08 09:41:00,10.7 GB
2023-11-08 09:41:15,10.2 GB
2023-11-08 09:41:30,10.2 GB
2023-11-08 09:41:45,10.2 GB
2023-11-08 09:42:00,10.2 GB
2023-11-08 09:42:15,10.3 GB
2023-11-08 09:42:30,10.5 GB
2023-11-08 09:42:45,10.6 GB
2023-11-08 09:43:00,10.8 GB
2023-11-08 09:43:15,10.9 GB
2023-11-08 09:43:30,10.2 GB
2023-11-08 09:43:45,10.2 GB
2023-11-08 09:44:00,10.2 GB
2023-11-08 09:44:15,10.2 GB
2023-11-08 09:44:30,10.3 GB
2023-11-08 09:44:45,10.5 GB
2023-11-08 09:45:00,10.6 GB
2023-11-08 09:45:15,10.8 GB
2023-11-08 09:45:30,10.9 GB
2023-11-08 09:45:45,11.0 GB
2023-11-08 09:46:00,11.1 GB
2023-11-08 09:46:15,10.2 GB
2023-11-08 09:46:30,10.2 GB
2023-11-08 09:46:45,10.2 GB
2023-11-08 09:47:00,10.3 GB
2023-11-08 09:47:15,10.4 GB
2023-11-08 09:47:30,10.5 GB
2023-11-08 09:47:45,10.7 GB
2023-11-08 09:48:00,10.8 GB
