"Time","AIRFLOW"
2023-11-08 09:35:00,32.2 GB
2023-11-08 09:35:15,32.2 GB
2023-11-08 09:35:30,32.2 GB
2023-11-08 09:35:45,32.2 GB
2023-11-08 09:36:00,32.2 GB
2023-11-08 09:36:15,32.2 GB
2023-11-08 09:36:30,32.2 GB
2023-11-08 09:36:45,32.2 GB
2023-11-08 09:37:00,32.2 GB
2023-11-08 09:37:15,32.2 GB
2023-11-08 09:37:30,32.2 GB
2023-11-08 09:37:45,32.2 GB
2023-11-08 09:38:00,32.2 GB
2023-11-08 09:38:15,32.2 GB
2023-11-08 09:38:30,32.2 GB
2023-11-08 09:38:45,32.2 GB
2023-11-08 09:39:00,32.2 GB
2023-11-08 09:39:15,32.2 GB
2023-11-08 09:39:30,32.2 GB
2023-11-08 09:39:45,32.2 GB
2023-11-08 09:40:00,32.2 GB
2023-11-08 09:40:15,32.2 GB
2023-11-08 09:40:30,32.2 GB
2023-11-08 09:40:45,32.2 GB
2023-11-08 09:41:00,32.2 GB
2023-11-08 09:41:15,32.2 GB
2023-11-08 09:41:30,32.2 GB
2023-11-08 09:41:45,32.2 GB
2023-11-08 09:42:00,32.2 GB
2023-11-08 09:42:15,32.2 GB
2023-11-08 09:42:30,32.2 GB
2023-11-08 09:42:45,32.2 GB
2023-11-08 09:43:00,32.2 GB
2023-11-08 09:43:15,32.2 GB
2023-11-08 09:43:30,32.2 GB
2023-11-08 09:43:45,32.2 GB
2023-11-08 09:44:00,32.2 GB
2023-11-08 09:44:15,32.2 GB
2023-11-08 09:44:30,32.2 GB
2023-11-08 09:44:45,32.2 GB
2023-11-08 09:45:00,32.2 GB
2023-11-08 09:45:15,32.2 GB
2023-11-08 09:45:30,32.2 GB
2023-11-08 09:45:45,32.2 GB
2023-11-08 09:46:00,32.2 GB
2023-11-08 09:46:15,32.2 GB
2023-11-08 09:46:30,32.2 GB
2023-11-08 09:46:45,32.2 GB
2023-11-08 09:47:00,32.2 GB
2023-11-08 09:47:15,32.2 GB
2023-11-08 09:47:30,32.2 GB
2023-11-08 09:47:45,32.2 GB
2023-11-08 09:48:00,32.2 GB
2023-11-08 09:48:15,32.2 GB
2023-11-08 09:48:30,32.2 GB
2023-11-08 09:48:45,32.2 GB
2023-11-08 09:49:00,32.2 GB
